Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress ScoreÂ®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-09-26 10:46:03,false,"Sonoma County Running","1.51","147","00:34:31","88","113","97","157","22:50","17:06","44","47","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","12:49.97","2","0.0","00:31:42","00:34:31","285","325"
Running,2023-09-23 10:28:10,false,"Sonoma County Running","2.00","192","00:39:39","94","120","136","157","19:48","16:20","42","55","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.17","3","0.0","00:39:30","00:39:39","307","343"
Running,2023-09-21 11:32:00,false,"Sonoma County Running","1.38","134","00:27:32","104","116","135","155","19:57","16:14","71","71","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:33.07","2","0.0","00:27:26","00:27:32","306","366"
Running,2023-09-19 10:13:41,false,"Sonoma County Running","1.99","188","00:38:56","90","121","138","156","19:33","16:20","37","49","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:21.78","2","0.0","00:38:49","00:38:56","307","343"
Running,2023-09-17 17:06:37,false,"Sonoma County Running","2.00","195","00:39:31","93","110","136","155","19:43","16:31","85","86","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.34","3","0.0","00:39:22","00:39:31","307","366"
Running,2023-09-13 08:55:09,false,"Sonoma County Running","2.00","185","00:39:15","89","121","137","159","19:36","17:01","70","72","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.51","3","0.0","00:39:03","00:39:15","307","366"
Running,2023-09-11 10:24:18,false,"Sonoma County Running","2.00","202","00:42:31","101","121","126","158","21:14","16:31","34","43","0.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.23","3","0.0","00:39:04","00:42:31","308","342"
Running,2023-09-08 11:27:25,false,"Sonoma County Running","2.00","197","00:40:08","107","129","132","155","20:02","15:12","27","34","0.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.54","3","0.0","00:39:58","00:40:08","307","344"
Walking,2023-09-07 11:14:19,false,"Sonoma County Walking","1.03","121","00:30:40","96","118","62","159","29:40","19:49","30","30","0.91","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:06.67","2","0.0","00:25:51","00:30:40","307","343"
Running,2023-09-04 10:59:37,false,"Sonoma County Running","2.38","237","00:47:30","104","123","136","156","19:57","15:48","76","70","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:49.82","3","0.0","00:47:23","00:47:30","285","344"
Running,2023-09-01 10:14:32,false,"Sonoma County Running","2.00","204","00:39:11","98","120","136","156","19:36","16:55","56","62","0.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:12.37","2","0.0","00:38:59","00:39:11","307","366"
Running,2023-08-30 09:28:39,false,"Sonoma County Running","1.51","143","00:29:14","110","125","135","150","19:25","17:19","58","58","0.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:56.85","2","0.0","00:29:00","00:29:14","285","325"
Running,2023-08-28 10:21:49,false,"Sonoma County Running","2.00","220","00:40:30","103","119","133","155","20:17","16:20","64","73","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:07.38","2","0.0","00:40:13","00:40:30","307","366"
Running,2023-08-25 10:07:57,false,"Sonoma County Running","2.70","259","00:53:00","93","132","135","159","19:38","16:04","90","104","0.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","13:32.29","3","0.0","00:52:39","00:53:00","285","366"
Running,2023-08-23 10:02:13,false,"Sonoma County Running","2.05","214","00:41:58","96","119","132","156","20:29","16:55","37","54","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:59.65","3","0.0","00:40:58","00:41:58","307","344"
Running,2023-08-21 10:49:38,false,"Sonoma County Running","1.99","203","00:40:05","103","126","135","156","20:11","16:43","61","71","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:35.84","2","0.0","00:39:52","00:40:05","307","366"
Running,2023-08-18 11:06:13,false,"Sonoma County Running","2.46","256","00:52:55","99","123","126","158","21:30","16:20","68","82","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:41.51","3","0.0","00:50:01","00:52:55","285","352"
Running,2023-08-15 10:00:22,false,"Sonoma County Running","1.48","142","00:28:46","84","117","139","161","19:23","16:20","57","57","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:55.03","2","0.0","00:28:37","00:28:46","285","325"
Running,2023-08-13 09:39:31,false,"Sonoma County Running","2.00","207","00:41:36","102","122","130","155","20:49","17:01","57","68","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:52.70","2","0.0","00:41:27","00:41:36","307","365"
Running,2023-08-11 10:37:23,false,"Sonoma County Running","1.99","194","00:38:20","96","110","139","156","19:14","16:43","38","50","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:01.83","2","0.0","00:38:12","00:38:20","307","343"
Running,2023-08-09 09:27:45,false,"Sonoma County Running","1.98","192","00:40:40","87","112","135","165","20:31","16:37","79","265","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:34.87","2","0.0","00:40:31","00:40:40","307","510"
Running,2023-08-04 10:29:17,false,"Sonoma County Running","1.97","195","00:38:49","105","128","140","156","19:43","17:58","33","39","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:15.57","2","0.0","00:38:38","00:38:49","307","343"
Running,2023-08-02 09:15:11,false,"Sonoma County Running","2.00","206","00:39:59","93","115","137","159","20:03","16:55","60","61","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:30.43","2","0.0","00:39:39","00:39:59","307","366"
Running,2023-07-31 10:45:00,false,"Sonoma County Running","1.98","194","00:43:29","97","117","127","156","21:55","17:32","83","83","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","21:18.41","2","0.0","00:42:39","00:43:29","307","366"
Running,2023-07-21 08:55:30,false,"Sonoma County Running","2.05","227","00:58:12","89","117","96","163","28:23","16:20","45","46","2.64","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.82","8","0.0","00:40:05","00:58:19","285","342"
Running,2023-07-19 09:06:46,false,"Sonoma County Running","2.01","213","00:42:46","109","130","124","159","21:14","15:12","57","66","0.63","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:27.93","3","0.0","00:38:03","00:42:51","307","366"
Running,2023-07-13 09:59:00,false,"Sonoma County Running","2.10","207","00:42:47","97","126","132","158","20:25","17:01","40","46","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:59.14","3","0.0","00:40:28","00:43:47","307","343"
Running,2023-07-10 10:40:14,false,"Sonoma County Running","2.10","204","00:42:50","97","113","133","155","20:25","16:14","59","67","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:20.67","3","0.0","00:42:34","00:42:50","285","333"
Running,2023-07-07 10:47:11,false,"Sonoma County Running","1.99","193","00:40:40","94","114","135","156","20:29","16:48","65","79","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:42.72","2","0.0","00:40:38","00:40:40","307","366"
Running,2023-07-04 07:30:29,false,"Kenwood 3K","1.91","184","00:34:38","84","111","147","228","18:10","14:14","110","107","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","15:44.11","2","0.0","00:34:37","00:34:38","387","496"
Running,2023-07-01 09:47:07,false,"Sonoma County Running","2.00","203","00:41:14","97","119","130","165","20:35","15:48","50","56","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.04","3","0.0","00:38:39","00:41:14","307","343"
Running,2023-06-29 10:42:44,false,"Sonoma County Running","2.01","200","00:39:16","86","128","138","161","19:31","15:32","57","67","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:19.97","3","0.0","00:38:58","00:39:16","307","366"
Running,2023-06-27 10:31:02,false,"Sonoma County Running","2.00","204","00:38:23","102","129","139","161","19:11","16:37","111","120","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:54.33","2","0.0","00:38:02","00:38:23","387","495"
Running,2023-06-23 11:13:14,false,"Sonoma County Running","2.70","282","00:51:55","110","132","140","165","19:15","15:32","86","94","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","13:01.41","3","0.0","00:51:53","00:51:55","285","366"
Running,2023-06-21 08:59:48,false,"Sonoma County Running","2.00","228","00:37:57","112","131","142","163","18:56","14:59","22","32","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.95","3","0.0","00:37:56","00:37:57","307","343"
Running,2023-06-19 10:09:04,false,"Sonoma County Running","1.99","194","00:38:21","82","128","139","165","19:15","16:26","73","73","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:58.60","2","0.0","00:38:13","00:38:21","307","366"
Running,2023-06-12 10:46:46,false,"Sonoma County Running","2.01","206","00:38:49","111","130","139","156","19:21","17:32","117","121","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.98","3","0.0","00:38:44","00:38:49","387","496"
Running,2023-06-09 10:37:59,false,"Sonoma County Running","2.31","233","00:47:15","105","126","133","165","20:29","15:42","101","105","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:03.62","3","0.0","00:45:54","00:47:15","384","483"
Running,2023-06-06 16:59:14,false,"Sonoma County Running","1.86","185","00:38:47","95","116","135","158","20:49","16:55","39","39","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:47.12","2","0.0","00:38:46","00:38:47","307","343"
Walking,2023-06-05 10:39:29,false,"Sonoma County Walking","2.17","194","00:47:58","79","119","105","156","22:06","15:32","42","53","0.71","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:23.12","3","0.0","00:45:36","00:47:58","307","343"
Running,2023-06-01 10:24:08,false,"Sonoma County Running","1.03","96","00:21:05","82","99","135","157","20:33","17:01","23","23","0.58","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:36.03","2","0.0","00:20:56","00:21:05","307","344"
Running,2023-05-17 10:11:33,false,"Sonoma County Running","2.00","210","00:39:18","97","124","136","156","19:36","16:04","64","79","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.72","3","0.0","00:39:02","00:39:18","307","366"
Running,2023-05-15 10:33:07,false,"Sonoma County Running","2.03","208","00:41:00","89","115","132","155","20:12","17:38","61","73","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:40.22","3","0.0","00:40:41","00:41:00","307","366"
Running,2023-05-13 11:15:24,false,"Sonoma County Running","1.50","145","00:28:50","107","127","138","156","19:13","15:18","48","59","0.61","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:58.81","2","0.0","00:28:43","00:28:50","285","325"
Walking,2023-05-11 09:59:15,false,"Sonoma County Walking","2.60","252","01:02:42","76","91","92","105","24:06","19:49","137","134","0.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","14:18.28","3","0.0","01:00:23","01:02:42","212","347"
Running,2023-05-10 09:06:55,false,"Sonoma County Running","1.97","197","00:40:35","106","117","131","157","20:37","15:58","26","32","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:43.28","2","0.0","00:39:45","00:40:35","307","344"
Running,2023-05-08 11:21:04,false,"Sonoma County Running","2.00","202","00:36:48","96","127","141","162","18:22","15:53","64","74","0.62","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.91","3","0.0","00:36:43","00:36:48","307","366"
Running,2023-05-06 11:25:59,false,"Sonoma County Running","2.61","258","00:52:17","106","120","135","159","20:02","14:40","95","106","0.59","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","12:30.24","3","0.0","00:52:10","00:52:17","285","366"
Running,2023-05-04 09:47:47,false,"Sonoma County Running","2.00","200","00:38:49","97","123","139","156","19:23","15:37","49","49","0.60","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.41","3","0.0","00:38:37","00:38:49","307","343"
